id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,year,score,overviewmod,genresmod,soup
27205,Inception,8.364,34495,Released,2010-07-15,825532764,148,False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,160000000,https://www.warnerbros.com/movies/inception,tt1375666,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,Your mind is the scene of the crime.,"Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","English, French, Japanese, Swahili","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious",2010.0,8.337512759887218,"['cobb', 'skilled', 'thief', 'commits', 'corporate', 'espionage', 'infiltrating', 'subconscious', 'targets', 'offered', 'chance', 'regain', 'old', 'life', 'payment', 'task', 'considered', 'impossible', 'inception', 'implantation', 'another', 'persons', 'idea', 'targets', 'subconscious']","['action', 'sciencefiction', 'adventure']",cobb skilled thief commits corporate espionage infiltrating subconscious targets offered chance regain old life payment task considered impossible inception implantation another persons idea targets subconscious action sciencefiction adventure
157336,Interstellar,8.417,32571,Released,2014-11-05,701729206,169,False,/pbrkL804c8yAv3zBZR4QPEafpAR.jpg,165000000,http://www.interstellarmovie.net/,tt0816692,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Mankind was born on Earth. It was never meant to die here.,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions","United Kingdom, United States of America",English,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated",2014.0,8.388325667076266,"['adventures', 'group', 'explorers', 'make', 'use', 'newly', 'discovered', 'wormhole', 'surpass', 'limitations', 'human', 'space', 'travel', 'conquer', 'vast', 'distances', 'involved', 'interstellar', 'voyage']","['adventure', 'drama', 'sciencefiction']",adventures group explorers make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage adventure drama sciencefiction
155,The Dark Knight,8.512,30619,Released,2008-07-16,1004558444,152,False,/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg,185000000,https://www.warnerbros.com/movies/dark-knight/,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Welcome to a world without rules.,"Drama, Action, Crime, Thriller","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","United Kingdom, United States of America","English, Mandarin","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir",2008.0,8.480299124492378,"['batman', 'raises', 'stakes', 'war', 'crime', 'help', 'lt', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'dent', 'batman', 'sets', 'dismantle', 'remaining', 'criminal', 'organizations', 'plague', 'streets', 'partnership', 'proves', 'effective', 'soon', 'find', 'prey', 'reign', 'chaos', 'unleashed', 'rising', 'criminal', 'mastermind', 'known', 'terrified', 'citizens', 'gotham', 'joker']","['drama', 'action', 'crime', 'thriller']",batman raises stakes war crime help lt jim gordon district attorney harvey dent batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens gotham joker drama action crime thriller
19995,Avatar,7.573,29815,Released,2009-12-15,2923706026,162,False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,237000000,https://www.avatar.com/movies/avatar,tt0499549,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Enter the world of Pandora.,"Action, Adventure, Fantasy, Science Fiction","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","United States of America, United Kingdom","English, Spanish","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, joyful",2009.0,7.552855803385998,"['nd', 'century', 'paraplegic', 'marine', 'dispatched', 'moon', 'pandora', 'unique', 'mission', 'becomes', 'torn', 'following', 'orders', 'protecting', 'alien', 'civilization']","['action', 'adventure', 'fantasy', 'sciencefiction']",nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization action adventure fantasy sciencefiction
24428,The Avengers,7.71,29166,Released,2012-04-25,1518815515,143,False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,220000000,https://www.marvel.com/movies/the-avengers,tt0848228,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Some assembly required.,"Science Fiction, Action, Adventure",Marvel Studios,United States of America,"English, Hindi, Russian","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",2012.0,7.68756469621189,"['unexpected', 'enemy', 'emerges', 'threatens', 'global', 'safety', 'security', 'nick', 'fury', 'director', 'international', 'peacekeeping', 'agency', 'known', 'shield', 'finds', 'need', 'team', 'pull', 'world', 'back', 'brink', 'disaster', 'spanning', 'globe', 'daring', 'recruitment', 'effort', 'begins']","['sciencefiction', 'action', 'adventure']",unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins sciencefiction action adventure
293660,Deadpool,7.606,28894,Released,2016-02-09,783100000,108,False,/en971MEXui9diirXlogOrPKmsEn.jpg,58000000,https://www.20thcenturystudios.com/movies/deadpool,tt1431045,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,Witness the beginning of a happy ending.,"Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films",United States of America,English,"superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger",2016.0,7.584772957481464,"['origin', 'story', 'former', 'special', 'forces', 'operative', 'turned', 'mercenary', 'wade', 'wilson', 'subjected', 'rogue', 'experiment', 'leaves', 'accelerated', 'healing', 'powers', 'adopts', 'alter', 'ego', 'deadpool', 'armed', 'new', 'abilities', 'dark', 'twisted', 'sense', 'humor', 'deadpool', 'hunts', 'man', 'nearly', 'destroyed', 'life']","['action', 'adventure', 'comedy']",origin story former special forces operative turned mercenary wade wilson subjected rogue experiment leaves accelerated healing powers adopts alter ego deadpool armed new abilities dark twisted sense humor deadpool hunts man nearly destroyed life action adventure comedy
299536,Avengers: Infinity War,8.255,27713,Released,2018-04-25,2052415039,149,False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,300000000,https://www.marvel.com/movies/avengers-infinity-war,tt4154756,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,An entire universe. Once and for all.,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,"English, Xhosa","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic",2018.0,8.223669793807078,"['avengers', 'allies', 'continued', 'protect', 'world', 'threats', 'large', 'one', 'hero', 'handle', 'new', 'danger', 'emerged', 'cosmic', 'shadows', 'thanos', 'despot', 'intergalactic', 'infamy', 'goal', 'collect', 'six', 'infinity', 'stones', 'artifacts', 'unimaginable', 'power', 'use', 'inflict', 'twisted', 'reality', 'everything', 'avengers', 'fought', 'led', 'moment', 'fate', 'earth', 'existence', 'never', 'uncertain']","['adventure', 'action', 'sciencefiction']",avengers allies continued protect world threats large one hero handle new danger emerged cosmic shadows thanos despot intergalactic infamy goal collect six infinity stones artifacts unimaginable power use inflict twisted reality everything avengers fought led moment fate earth existence never uncertain adventure action sciencefiction
550,Fight Club,8.438,27238,Released,1999-10-15,100853753,139,False,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,63000000,http://www.foxmovies.com/movies/fight-club,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Mischief. Mayhem. Soap.,Drama,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness",1999.0,8.403489316622808,"['tickingtimebomb', 'insomniac', 'slippery', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggression', 'shocking', 'new', 'form', 'therapy', 'concept', 'catches', 'underground', 'fight', 'clubs', 'forming', 'every', 'town', 'eccentric', 'gets', 'way', 'ignites', 'outofcontrol', 'spiral', 'toward', 'oblivion']",['drama'],tickingtimebomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catches underground fight clubs forming every town eccentric gets way ignites outofcontrol spiral toward oblivion drama
118340,Guardians of the Galaxy,7.906,26638,Released,2014-07-30,772776600,121,False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,170000000,http://marvel.com/guardians,tt2015381,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,All heroes start somewhere.,"Action, Science Fiction, Adventure",Marvel Studios,United States of America,English,"spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",2014.0,7.878574481026169,"['light', 'years', 'earth', 'years', 'abducted', 'peter', 'quill', 'finds', 'prime', 'target', 'manhunt', 'discovering', 'orb', 'wanted', 'ronan', 'accuser']","['action', 'sciencefiction', 'adventure']",light years earth years abducted peter quill finds prime target manhunt discovering orb wanted ronan accuser action sciencefiction adventure
680,Pulp Fiction,8.488,25893,Released,1994-09-10,213900000,154,False,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,8500000,https://www.miramax.com/movie/pulp-fiction/,tt0110912,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,Just because you are a character doesn't mean you have character.,"Thriller, Crime","Miramax, A Band Apart, Jersey Films",United States of America,"English, Spanish, French","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, hilarious",1994.0,8.450965093697874,"['burgerloving', 'hit', 'man', 'philosophical', 'partner', 'drugaddled', 'gangsters', 'moll', 'washedup', 'boxer', 'converge', 'sprawling', 'comedic', 'crime', 'caper', 'adventures', 'unfurl', 'three', 'stories', 'ingeniously', 'trip', 'back', 'forth', 'time']","['thriller', 'crime']",burgerloving hit man philosophical partner drugaddled gangsters moll washedup boxer converge sprawling comedic crime caper adventures unfurl three stories ingeniously trip back forth time thriller crime
